Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
56	-279.79376	0.6625837	-278.05002	-280.2	100.0	517.0	0.0	-4.1909516e-09	0.09126887	-0.0013987976	-0.00545437	1.831965	0.008093833	0.011725	49.0	1656.8993310928345
57	-280.025	0.043303914	-280.0	-280.1	100.0	525.0	0.0	4.656613e-09	0.083906546	-0.0015963392	-0.00220333	1.8219073	0.0065231463	0.019475	49.0	1685.2105207443237
58	-279.83124	0.49619803	-278.75	-280.45	100.0	533.0	0.0	3.259629e-09	0.10881562	-0.0016170212	-0.010934715	1.8472686	0.005395944	0.0075375	49.0	1713.326200246811
59	-279.79376	0.5456842	-278.35	-280.0	100.0	541.0	0.0	2.7939677e-09	0.1079704	-0.0017955622	-0.001309332	1.8025442	0.007115433	0.0153250005	49.0	1741.177363872528
60	-280.0	0.0	-280.0	-280.0	100.0	549.0	0.0	0.0	0.10539426	-0.00192268	-0.0076233735	1.7949234	0.007866767	0.033262502	49.0	1770.1039171218872
61	-280.0125	0.033073913	-280.0	-280.1	100.0	557.0	0.0	4.656613e-09	0.09583798	-0.0017452029	-0.0025231056	1.7543187	0.0061604315	0.0177875	49.0	1798.146614074707
62	-279.79376	0.5456842	-278.35	-280.0	100.0	565.0	0.0	-4.656613e-09	0.10748747	-0.0017443672	-0.005530652	1.7491553	0.006978072	0.024725	49.0	1825.8852570056915
63	-279.6875	0.88485277	-277.35	-280.15	100.0	573.0	0.0	-6.9849193e-09	0.12741467	-0.0015978331	-0.0031134058	1.7015083	0.0077290405	0.0175875	49.0	1859.4695382118225
64	-280.0	0.0	-280.0	-280.0	100.0	581.0	0.0	-4.656613e-09	0.116022415	-0.0019643027	-0.0058104764	1.6785489	0.009011043	0.0380375	49.0	1894.3853497505188
65	-279.53125	0.8143009	-278.0	-280.0	100.0	589.0	0.0	7.450581e-09	0.120932326	-0.0020779986	-0.008830337	1.6700706	0.005626306	0.0228125	49.0	1918.8066499233246
66	-279.91876	0.21496527	-279.35	-280.0	100.0	597.0	0.0	1.1175871e-08	0.08239811	-0.0016560978	-0.0010997555	1.6969812	0.0067293793	0.0118875	49.0	1947.1286096572876
67	-280.0	0.0	-280.0	-280.0	100.0	605.0	0.0	9.313226e-10	0.10046362	-0.0017255768	-0.0055492623	1.702624	0.008047512	0.017637499	49.0	1975.6480691432953
