Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	MeanDiff	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
90	85.26435	32.995647	128.7	-22.35	58.53913	7829.0	0.0	4.656613e-10	12.956587	-0.012654537	-1.2538152	1.5016456	0.0076843724	0.0752125	49.0	1396.672210931778
91	90.10398	29.288866	127.15	-8.35	57.16814	7942.0	0.0	-1.3038516e-08	14.972467	-0.012960696	-1.3433704	1.508429	0.008233792	0.0804375	49.0	1411.9454171657562
92	90.24917	31.45235	127.2	5.099999	55.115704	8063.0	0.0	-6.7520887e-09	14.78219	-0.012672169	-1.1610062	1.4462122	0.00692051	0.0729	49.0	1427.67218708992
93	83.18045	34.927513	126.6	-32.050003	59.063637	8173.0	0.0	1.2805685e-08	12.268702	-0.013084567	-1.1307946	1.5133389	0.007849787	0.07358749	49.0	1442.9583630561829
94	86.46651	30.73175	128.85	-6.750001	59.348625	8282.0	0.0	9.313226e-10	16.600845	-0.0133353565	-1.9227437	1.4820491	0.008219734	0.07705	49.0	1458.3669681549072
95	88.62222	32.18463	128.7	-15.150001	56.863247	8399.0	0.0	-3.7252903e-09	13.247256	-0.013168318	-1.1302806	1.4721763	0.008673923	0.0887	49.0	1473.7892608642578
96	91.98589	29.582369	128.3	-6.4000006	56.11966	8516.0	0.0	3.259629e-09	13.13015	-0.012654439	-0.97786963	1.4902182	0.007204814	0.077787496	49.0	1489.146948337555
97	94.05121	27.472843	129.95	7.299999	53.822582	8640.0	0.0	1.3969839e-09	15.387375	-0.012297027	-1.2084035	1.4243491	0.0065091327	0.077912495	49.0	1504.448674917221
98	92.993034	29.444185	128.6	8.799999	53.19672	8762.0	0.0	-9.080395e-09	13.576998	-0.012504755	-1.0175624	1.4094696	0.007926875	0.0746375	49.0	1519.9945380687714
99	91.26184	29.713657	127.05	-12.8	57.2807	8876.0	0.0	1.8626451e-09	14.59441	-0.012637878	-1.0857328	1.4577565	0.007976438	0.076875	49.0	1535.7174260616302
100	91.709435	32.09042	127.95	-10.950001	54.31967	8998.0	0.0	9.313226e-10	14.517628	-0.012593836	-1.2050557	1.4090356	0.007322818	0.0794125	49.0	1551.202372789383
101	96.68741	27.422285	128.7	3.6499994	51.715446	9121.0	0.0	4.1909516e-09	13.349754	-0.0127221	-0.96286464	1.4027891	0.008103428	0.081825	49.0	1566.5023255348206
102	95.65968	31.911085	129.1	0.39999905	50.837208	9250.0	0.0	1.1175871e-08	14.311733	-0.012561781	-1.0479759	1.3654978	0.007852077	0.076475	49.0	1581.859637260437
103	95.870834	28.097704	128.0	8.349999	52.816666	9370.0	0.0	4.656613e-09	13.663956	-0.012185382	-0.97230196	1.4117407	0.00725957	0.079637505	49.0	1597.083045721054
104	99.037125	26.85381	128.3	15.7	48.757576	9502.0	0.0	-9.313226e-10	15.061937	-0.012588584	-1.2907232	1.3189956	0.007338377	0.075675	49.0	1612.5034306049347
105	94.299995	33.52927	128.55	-10.850001	50.83871	9626.0	0.0	6.519258e-09	16.28935	-0.012214145	-1.2828007	1.341737	0.0069365567	0.073825	49.0	1627.804993391037
106	97.054794	27.218079	129.95	8.15	52.0	9751.0	0.0	-4.656613e-10	11.956427	-0.012678059	-0.98518133	1.3529928	0.008000988	0.074512504	49.0	1643.0603387355804
107	99.05662	31.922173	129.0	-27.250002	46.735294	9887.0	0.0	-7.450581e-09	12.419987	-0.012428393	-0.94127357	1.2970774	0.007791357	0.0742625	49.0	1658.307686805725
108	100.96223	28.159828	129.65	-9.150001	46.6	10022.0	0.0	4.656613e-10	14.7438345	-0.012467971	-1.166379	1.2757756	0.007488842	0.076000005	49.0	1673.546972990036
109	107.40097	24.369505	129.75	-9.250001	41.363636	10176.0	0.0	4.656613e-10	13.949614	-0.012196713	-1.1634457	1.2215116	0.0077935187	0.075487494	49.0	1688.9365673065186
110	107.552444	21.068361	128.6	41.85	42.39161	10319.0	0.0	1.8626451e-09	13.933965	-0.012866292	-1.0034369	1.2463896	0.008158382	0.079349995	49.0	1704.292881011963
111	103.91951	25.465372	131.6	18.2	45.120567	10460.0	0.0	6.2864274e-09	14.7258215	-0.011927733	-1.0768677	1.2695695	0.0067300047	0.072425	49.0	1719.6019065380096
112	104.30875	26.083345	129.85	26.55	43.986015	10603.0	0.0	-3.7252903e-09	12.956331	-0.012425648	-0.98421633	1.248219	0.0067264605	0.07135	49.0	1734.9216589927673
113	111.15812	20.055294	129.85	35.55	38.58125	10763.0	0.0	8.381903e-09	13.276739	-0.012131801	-1.0423858	1.1647725	0.0066552535	0.0749875	49.0	1750.01997590065
114	106.824326	26.163382	129.35	2.1999993	40.77027	10911.0	0.0	-1.3969839e-08	12.39908	-0.012363492	-0.86539805	1.1832297	0.00689907	0.07075	49.0	1765.189462184906
115	108.96062	26.081003	132.5	1.3999996	38.35	11071.0	0.0	-1.44355e-08	13.158177	-0.012676174	-0.854998	1.1287634	0.007255635	0.0778375	49.0	1780.3510904312134
116	106.21797	27.94038	131.35	-8.0	40.18954	11224.0	0.0	-5.355105e-09	14.007316	-0.01210379	-1.3561407	1.1565368	0.008197332	0.077549994	49.0	1795.5245628356934
117	110.67257	24.355717	130.0	13.599999	37.353657	11388.0	0.0	3.259629e-09	13.437923	-0.012315145	-1.1260413	1.1130128	0.008303846	0.08065	49.0	1810.6552953720093
118	111.81994	21.69534	130.0	25.9	36.613094	11556.0	0.0	1.3504177e-08	13.831818	-0.012230944	-0.98931897	1.1178324	0.0072545386	0.0726625	49.0	1825.8325481414795
119	113.9418	21.068098	131.9	37.149998	33.82486	11733.0	0.0	1.8626451e-08	12.627569	-0.012588104	-0.8427237	1.0853449	0.0074439803	0.0750875	49.0	1840.9632287025452
120	108.74756	26.165064	130.85	2.7499995	38.57927	11897.0	0.0	9.313226e-10	12.884304	-0.011922357	-0.97848344	1.129327	0.007363556	0.07595	49.0	1856.4223475456238
121	114.847786	21.4954	130.75	24.25	32.50276	12078.0	0.0	3.259629e-09	14.845007	-0.012582228	-1.2039696	1.0367541	0.007898706	0.078125	49.0	1871.4948511123657
122	114.07554	24.123089	130.8	-5.3000007	32.655914	12264.0	0.0	-6.519258e-09	11.92552	-0.012514219	-0.9946767	1.0193696	0.0074913707	0.075375	49.0	1886.7208750247955
123	111.02682	24.930332	131.45	13.799999	36.590363	12430.0	0.0	5.5879354e-09	12.770801	-0.012400093	-0.9130393	1.104332	0.007942252	0.0763125	49.0	1901.787284374237
124	115.80105	23.119469	130.7	-23.550001	31.0	12621.0	0.0	1.4901161e-08	14.435307	-0.012206568	-0.90899277	0.9920192	0.007531405	0.0741	49.0	1916.879052400589
125	114.57131	23.697613	131.25	-0.5000013	32.284153	12804.0	0.0	6.7520887e-09	16.106112	-0.012291842	-1.1673003	1.0352131	0.007019152	0.074687496	49.0	1932.0674350261688
126	117.78787	19.209433	131.3	32.35	29.762886	12998.0	0.0	-1.8626451e-09	13.737879	-0.012314601	-0.8529177	0.9896649	0.0072492277	0.0718	49.0	1947.073763847351
127	114.96631	22.556595	132.25	18.8	32.57754	13185.0	0.0	-5.5879354e-09	12.80599	-0.011824445	-0.76811814	1.0322578	0.0076151174	0.074825004	49.0	1962.3496174812317
128	118.51363	16.661642	131.85	31.15	29.722221	13383.0	0.0	1.5832484e-08	13.782692	-0.011801553	-1.0698905	0.9855104	0.007204391	0.073762506	49.0	1977.547411441803
129	116.53979	20.462603	130.5	21.8	31.251308	13574.0	0.0	8.381903e-09	13.500835	-0.011812227	-0.75754535	1.000839	0.0073185116	0.072262496	49.0	1992.6543591022491
130	115.78999	24.023909	130.9	-39.5	31.153847	13769.0	0.0	-5.5879354e-09	13.166751	-0.01209848	-1.0459404	0.9856472	0.0069590053	0.07285	49.0	2007.8272848129272
131	116.56979	22.138594	131.2	-3.200001	30.532995	13966.0	0.0	-3.7252903e-09	11.881695	-0.012187934	-0.90907824	0.97529906	0.0076864213	0.073787495	49.0	2022.8316757678986
132	116.71188	24.041365	131.75	-3.1000006	29.638615	14168.0	0.0	-7.916242e-09	12.325623	-0.011551514	-0.8332499	0.95371354	0.006957271	0.068912506	49.0	2038.0102543830872
133	117.48713	23.00563	131.75	-35.2	29.51485	14370.0	0.0	-1.5832484e-08	12.351038	-0.01146815	-0.859728	0.94985425	0.007725434	0.069162495	49.0	2053.1659729480743
134	117.677635	20.68399	131.45	14.099999	29.819096	14569.0	0.0	7.450581e-09	12.085734	-0.012045502	-0.67891324	0.9642144	0.007707882	0.0733375	49.0	2068.23482465744
135	119.89194	17.84641	132.9	18.55	27.445498	14780.0	0.0	-2.3283064e-09	11.726471	-0.012106372	-0.70261216	0.9148866	0.0072854552	0.072925	49.0	2083.2808656692505
136	122.464714	14.603993	131.65	31.0	25.008657	15011.0	0.0	-1.8742867e-08	12.276617	-0.0113804145	-0.8391464	0.8393116	0.0075400723	0.071237504	49.0	2098.4106543064117
137	121.34316	17.456852	132.9	25.55	25.427313	15238.0	0.0	5.122274e-09	13.093605	-0.01163039	-0.75391793	0.84311646	0.0075349244	0.072625	49.0	2113.4678547382355
138	122.57315	18.394823	132.6	-13.500001	23.42213	15482.0	0.0	-8.381903e-09	12.63443	-0.011043259	-0.84625256	0.7794958	0.0071468945	0.0670625	49.0	2128.5515837669373
139	119.794785	19.192268	132.7	-18.45	27.654028	15693.0	0.0	8.614734e-09	13.80065	-0.011194542	-1.0503337	0.909042	0.0068536517	0.0667125	49.0	2143.754858016968
