Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen
4780	107.81749	17.97664	149.6	75.4	40.0
4800	101.72	27.540012	156.5	47.65	40.0
4820	92.3625	26.486637	138.75	33.3	40.0
4840	101.34	24.591673	136.25	23.0	40.0
4860	105.28249	25.034143	149.55	46.649998	40.0
4880	101.95	35.72756	145.65	-5.4500012	40.0
4900	117.46751	20.122818	143.9	59.55	40.0
4920	113.29	14.765623	135.25	63.6	40.0
4940	101.564995	33.9535	151.5	20.699999	40.0
4960	116.567505	22.728441	161.7	57.85	40.0
4980	106.34251	30.239138	140.25	34.25	40.0
5000	112.50751	33.469425	160.3	-11.200001	40.0
5020	99.8175	34.62941	144.6	8.5	40.0
5040	105.3	31.44159	141.7	24.1	40.0
5060	107.58751	26.068798	146.8	57.15	40.0
5080	117.7025	27.368547	166.2	42.65	40.0
5100	111.5875	30.007875	148.4	13.0	40.0
5120	95.024994	34.011494	141.1	14.85	40.0
5140	109.240005	23.600666	144.45	52.95	40.0
5160	112.0775	13.054622	139.35	79.95	40.0
5180	111.57749	20.680399	144.75	52.75	40.0
5200	116.8	24.965376	149.55	56.5	40.0
5220	115.58751	23.85392	148.15	56.9	40.0
5240	111.822495	23.74878	147.2	62.3	40.0
5260	107.4125	28.421413	139.8	23.1	40.0
5280	102.545	25.231205	138.15	29.35	40.0
5300	104.89751	31.476942	149.0	36.0	40.0
5320	119.935	19.02829	152.1	81.1	40.0
5340	117.11251	29.149265	156.0	49.1	40.0
5360	105.05751	21.018736	148.7	62.35	40.0
5380	114.817505	21.275732	146.4	63.55	40.0
5400	101.265	33.79054	154.05	12.95	40.0
5420	95.82499	32.167976	152.0	33.05	40.0
5440	122.917496	13.778582	143.75	99.45	40.0
5460	122.9375	23.943703	142.0	46.35	40.0
5480	110.93001	29.690119	160.9	45.9	40.0
5500	126.81	18.84259	167.6	96.95	40.0
5520	112.12001	33.21407	154.2	12.150001	40.0
5540	115.73501	24.815199	152.3	58.25	40.0
5560	108.98501	31.301289	148.7	35.95	40.0
5580	102.72001	34.268696	160.2	30.95	40.0
5600	117.55	23.980648	150.35	48.6	40.0
5620	103.9225	40.820023	155.7	0.64999986	40.0
5640	113.19499	23.554539	146.15	42.0	40.0
5660	118.207504	27.99387	164.25	33.8	40.0
5680	109.33999	30.84037	152.2	32.1	40.0
5700	126.50252	22.11285	173.0	81.95	40.0
5720	120.4	27.084204	171.15	45.1	40.0
5740	107.994995	34.848427	150.95	23.5	40.0
5760	117.19751	41.092785	181.8	-0.14999986	40.0
5780	100.0125	36.23811	152.55	34.4	40.0
5800	113.75749	23.404318	154.95	43.95	40.0
5820	111.23749	23.456423	141.55	68.5	40.0
5840	119.2625	26.084242	151.5	35.75	40.0
5860	116.732506	23.093632	147.9	53.95	40.0
5880	123.71751	24.236963	169.45	65.55	40.0
5900	128.875	24.7857	157.55	70.5	40.0
5920	109.94	24.012438	141.85	54.8	40.0
5940	121.49251	36.416874	173.1	47.55	40.0
5960	113.68501	25.219427	148.65	62.35	40.0
5980	125.715004	21.775503	166.5	71.6	40.0
6000	132.78497	19.65718	162.55	94.6	40.0
6020	125.44499	19.942606	152.85	78.65	40.0
6040	114.335	33.98638	168.4	40.4	40.0
6060	114.90001	30.65343	152.4	23.15	40.0
6080	121.13501	30.582125	158.55	51.7	40.0
6100	116.21001	21.84949	156.3	56.55	40.0
6120	119.01001	34.103905	166.6	32.4	40.0
6140	118.1	29.949738	150.2	20.35	40.0
6160	126.517494	22.421616	154.3	57.55	40.0
6180	119.31	38.476833	181.5	10.2	40.0
6200	116.057495	34.785717	155.55	40.5	40.0
6220	115.25	33.008614	169.4	17.25	40.0
6240	121.40751	41.045723	172.05	21.15	40.0
6260	116.88251	24.255785	161.3	60.45	40.0
6280	103.7	46.212616	170.3	8.849999	40.0
6300	121.27501	20.144283	161.6	90.65	40.0
6320	119.4625	37.29759	190.5	27.1	40.0
6340	114.9975	33.961266	156.8	34.55	40.0
6360	136.2825	17.730934	162.25	99.1	40.0
6380	126.44501	37.86939	174.2	30.300001	40.0
6400	135.63751	27.938328	178.65	80.85	40.0
6420	127.909996	36.993423	163.55	-3.9999998	40.0
6440	109.3725	34.20854	157.9	9.7	40.0
6460	112.017494	42.66245	180.6	2.6999996	40.0
6480	117.312515	34.886677	162.2	20.4	40.0
6500	119.84501	25.30057	157.55	72.5	40.0
6520	120.187515	28.83409	175.2	75.05	40.0
6540	119.94999	39.372982	169.55	-0.15000014	40.0
6560	121.40749	35.03944	170.85	19.35	40.0
6580	132.35999	36.67573	179.45	39.5	40.0
6600	109.06	29.745207	178.95	25.8	40.0
6620	128.26999	36.9221	181.85	48.7	40.0
6640	123.375015	37.04241	170.1	13.349999	40.0
6660	123.99249	43.850098	177.6	2.3500001	40.0
6680	116.990005	40.47995	170.7	33.7	40.0
6700	108.75	37.4621	169.65	29.5	40.0
6720	107.57749	41.2198	175.95	19.65	40.0
6740	111.6875	37.865135	162.15	13.45	40.0
6760	114.107506	40.467365	173.5	17.0	40.0
6780	115.0425	34.15479	174.85	30.25	40.0
6800	116.079994	41.494686	163.45	2.3999994	40.0
6820	125.935	31.706337	175.1	26.0	40.0
6840	127.329994	37.533424	201.5	44.55	40.0
6860	120.6625	33.201447	163.0	29.1	40.0
6880	133.25502	29.951643	180.75	77.1	40.0
6900	110.145004	50.02048	184.35	7.0499997	40.0
6920	149.365	26.959286	197.5	95.3	40.0
6940	138.8975	28.550547	187.0	87.75	40.0
6960	128.38501	24.2881	175.8	82.2	40.0
6980	129.5475	28.594572	172.7	68.0	40.0
7000	130.28499	54.860474	192.15	17.15	40.0
7020	139.08	24.046333	183.1	103.85	40.0
7040	123.99501	36.093468	180.45	22.8	40.0
7060	127.03001	46.694305	179.55	1.1999999	40.0
7080	128.82	32.46247	195.4	66.05	40.0
7100	122.65751	47.398964	178.4	-6.15	40.0
7120	130.36252	29.454823	173.2	59.0	40.0
7140	125.13249	37.12886	175.3	11.7	40.0
7160	106.3	41.67086	172.3	15.55	40.0
7180	128.6	36.51564	179.3	14.099999	40.0
7200	127.34749	26.83199	178.55	70.1	40.0
7220	118.19999	43.38837	186.35	14.45	40.0
7240	116.08999	39.24496	170.75	25.3	40.0
7260	116.767494	37.171543	159.3	15.8	40.0
7280	131.1225	24.0421	179.7	85.65	40.0
7300	121.2875	38.769493	178.65	18.349998	40.0
7320	132.57999	25.944035	180.55	88.0	40.0
7340	122.4575	43.958233	172.0	17.15	40.0
7360	124.53749	47.55808	197.15	10.749999	40.0
7380	138.73502	20.264273	172.35	99.95	40.0
7400	122.545	37.26157	184.25	55.7	40.0
7420	124.3525	40.276173	176.15	11.9	40.0
7440	121.2675	46.84782	192.6	10.449999	40.0
7460	134.58499	43.59478	185.5	22.55	40.0
7480	137.89249	25.644775	191.4	67.0	40.0
7500	134.67749	41.63165	192.1	12.95	40.0
7520	131.20999	31.877491	183.4	70.75	40.0
7540	140.2875	39.74492	189.1	59.7	40.0
7560	130.15	36.067238	182.3	46.0	40.0
7580	129.6475	30.879082	168.9	56.85	40.0
7600	145.59499	29.419981	192.3	81.9	40.0
7620	128.965	32.555073	185.75	71.7	40.0
7640	116.76001	46.596355	175.6	26.1	40.0
7660	120.454994	38.38524	180.6	47.25	40.0
7680	137.47499	48.32957	195.45	12.000001	40.0
7700	117.125	53.874855	179.15	8.1	40.0
7720	142.2125	28.577726	180.75	61.05	40.0
7740	118.7075	44.2704	186.2	-2.7	40.0
7760	132.5925	44.216167	197.75	39.9	40.0
7780	137.52002	39.50316	201.35	50.8	40.0
7800	147.05748	25.923933	204.65	81.35	40.0
7820	143.32	34.108868	193.65	51.9	40.0
7840	135.19499	40.362965	201.9	28.449999	40.0
7860	148.9575	30.482006	191.7	52.55	40.0
7880	132.845	40.979614	188.95	23.25	40.0
7900	122.85001	44.05379	188.6	-6.5	40.0
7920	127.81749	47.123993	203.55	3.0000002	40.0
7940	136.55501	32.20443	199.2	63.7	40.0
7960	125.69249	46.242207	182.15	-2.3500004	40.0
7980	132.12248	33.787926	189.45	46.45	40.0
8000	114.432495	52.748943	195.9	12.6	40.0
