Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
42	-279.925	0.5244048	-278.75	-280.65	100.0	360.0	0.0	4.4237822e-09	0.24417147	-0.0023152998	-0.0031308178	2.746386	0.013813369	0.0186125	49.0	1391.7231571674347
43	-279.21252	1.7010633	-275.4	-280.30002	100.0	368.0	0.0	6.519258e-09	0.213175	-0.0031590993	-0.0027604029	2.7058704	0.011689398	0.034725003	49.0	1423.2666313648224
44	-279.74374	0.7165166	-277.85	-280.1	100.0	376.0	0.0	1.0244548e-08	0.20236975	-0.002555841	-0.0031717904	2.6844974	0.012310195	0.018662501	49.0	1457.7499563694
45	-280.0125	0.18832754	-279.55002	-280.2	100.0	384.0	0.0	5.5879354e-09	0.22401603	-0.0024486096	-0.003597768	2.755194	0.012653882	0.022725	49.0	1492.312353849411
46	-279.36877	0.89125764	-277.9	-280.1	100.0	392.0	0.0	-6.9849193e-09	0.24465345	-0.002598969	-0.004831046	2.7213326	0.013386659	0.054625	49.0	1526.7226340770721
47	-279.26874	1.178704	-276.9	-280.1	100.0	400.0	0.0	7.1013346e-09	0.21332815	-0.0026646852	-0.0030434988	2.681239	0.01114998	0.02015	49.0	1560.8378491401672
48	-280.0	0.0	-280.0	-280.0	100.0	408.0	0.0	7.450581e-09	0.18598893	-0.002070588	-0.0021630805	2.6072872	0.00901815	0.0167	49.0	1590.3413689136505
49	-279.65002	0.901383	-277.30002	-280.1	100.0	416.0	0.0	1.0011718e-08	0.20562562	-0.0018533184	-0.004219586	2.6429589	0.007984128	0.0145125	49.0	1620.3045444488525
50	-278.875	3.1164923	-270.65	-280.55002	100.0	424.0	0.0	2.3283064e-09	0.2035642	-0.0024622015	-0.0031938544	2.593521	0.013610053	0.0379875	49.0	1648.5396528244019
51	-279.2625	1.3506317	-276.55002	-280.1	100.0	432.0	0.0	-3.3760443e-09	0.19767612	-0.002431734	-0.0025794785	2.518824	0.010324892	0.027537499	49.0	1677.214780330658
52	-279.08752	1.2965685	-277.0	-280.1	100.0	440.0	0.0	7.916242e-09	0.21739697	-0.00248341	-0.0035008024	2.5090492	0.014169162	0.0297125	49.0	1706.2928314208984
53	-279.7125	0.55943745	-278.65	-280.1	100.0	448.0	0.0	1.3620593e-08	0.2008499	-0.0023355251	-0.0024181753	2.4253783	0.009942764	0.026625	49.0	1734.1883821487427
54	-280.0125	0.033073913	-280.0	-280.1	100.0	456.0	0.0	1.3969839e-09	0.22252914	-0.002684036	-0.0043545384	2.3946335	0.010903593	0.0616375	49.0	1763.6039080619812
55	-280.0125	0.033073913	-280.0	-280.1	100.0	464.0	0.0	1.3969839e-09	0.19416198	-0.0024109534	-0.011174383	2.4468584	0.012241687	0.030299999	49.0	1797.4514908790588
56	-280.05	0.070714995	-280.0	-280.2	100.0	472.0	0.0	8.381903e-09	0.15676555	-0.0022346873	-0.00868829	2.4891071	0.010865576	0.0350125	49.0	1831.3168671131134
57	-280.025	0.043303914	-280.0	-280.1	100.0	480.0	0.0	-1.0244548e-08	0.12571687	-0.002622367	-0.004940873	2.5076616	0.010902418	0.0114125	49.0	1864.6683781147003
58	-280.0	0.0	-280.0	-280.0	100.0	488.0	0.0	7.450581e-09	0.10030261	-0.002871427	-0.0064435313	2.5606575	0.013632491	0.0308875	49.0	1894.2929759025574
59	-280.0125	0.033073913	-280.0	-280.1	100.0	496.0	0.0	-1.21071935e-08	0.11319806	-0.0024664388	-0.009613734	2.511925	0.0074651376	0.021375	49.0	1923.6585643291473
60	-280.0	0.0	-280.0	-280.0	100.0	504.0	0.0	-5.5879354e-09	0.08584517	-0.0020930455	-0.0065242006	2.512663	0.010541426	0.023375	49.0	1953.3047044277191
