Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
2940	68.40749	53.691284	181.3	-2.7000008	80.0	1 h 0 min 40 sec
2960	78.115	46.90108	162.59999	-14.6	80.0	1 h 1 min 4 sec
2980	85.0775	28.240284	131.25	25.549997	80.0	1 h 1 min 27 sec
3000	100.854996	30.33411	169.59999	28.099997	80.0	1 h 1 min 51 sec
3020	99.167496	41.64456	155.54999	18.599998	80.0	1 h 2 min 15 sec
3040	107.28999	43.325157	199.3	54.05	80.0	1 h 2 min 37 sec
3060	92.872505	52.02796	176.9	-14.450002	80.0	1 h 3 min 2 sec
3080	101.97	37.319363	151.5	23.549997	80.0	1 h 3 min 27 sec
3100	80.3075	51.76515	160.05	-19.100002	80.0	1 h 3 min 51 sec
3120	96.41499	44.053635	184.05	20.949999	80.0	1 h 4 min 15 sec
3140	90.3425	47.68749	175.75	19.299997	80.0	1 h 4 min 40 sec
3160	91.2325	36.382427	163.84999	26.5	80.0	1 h 5 min 4 sec
3180	91.25499	46.203617	178.9	13.699998	80.0	1 h 5 min 27 sec
3200	78.04	47.064697	168.7	-12.500002	80.0	1 h 5 min 51 sec
3220	79.354996	44.63474	146.9	-24.500004	80.0	1 h 6 min 14 sec
3240	98.612495	46.832664	180.15	10.499998	80.0	1 h 6 min 37 sec
3260	94.9975	63.089634	220.34999	-29.300001	80.0	1 h 7 min 1 sec
3280	62.21	50.682648	132.34999	-52.65	80.0	1 h 7 min 24 sec
3300	63.3875	57.475506	193.25	-19.100002	80.0	1 h 7 min 48 sec
3320	61.865	51.324844	149.04999	-28.550001	80.0	1 h 8 min 11 sec
3340	88.75251	63.56898	196.5	-68.8	80.0	1 h 8 min 36 sec
3360	101.447495	56.080738	210.3	-15.550001	80.0	1 h 9 min 0 sec
3380	79.174995	54.026478	186.5	-2.2000012	80.0	1 h 9 min 23 sec
3400	110.6025	47.816	207.5	38.899998	80.0	1 h 9 min 48 sec
3420	79.832504	61.052666	232.9	-17.750004	80.0	1 h 10 min 12 sec
3440	115.4575	34.200897	178.6	50.199997	80.0	1 h 10 min 35 sec
3460	97.2675	54.17529	201.45	-29.200003	80.0	1 h 10 min 58 sec
3480	85.802505	48.45737	172.15	-20.45	80.0	1 h 11 min 22 sec
3500	79.7	55.806095	147.75	-47.9	80.0	1 h 11 min 46 sec
3520	94.149994	48.55786	167.55	-3.6500022	80.0	1 h 12 min 10 sec
3540	110.99251	62.3568	182.95	-10.250001	80.0	1 h 12 min 34 sec
3560	71.88	50.398003	167.45	-9.950002	80.0	1 h 12 min 58 sec
3580	118.159996	50.829094	196.4	22.749998	80.0	1 h 13 min 22 sec
3600	96.72749	65.54351	199.65	-21.200003	80.0	1 h 13 min 45 sec
3620	107.525	51.931023	185.5	-2.6500018	80.0	1 h 14 min 9 sec
3640	95.06	41.278915	176.34999	10.999999	80.0	1 h 14 min 33 sec
3660	104.509995	56.23775	217.34999	-32.600002	80.0	1 h 14 min 57 sec
3680	126.62251	54.520134	211.05	-3.3500018	80.0	1 h 15 min 19 sec
3700	123.75749	57.634087	269.65	37.149998	80.0	1 h 15 min 43 sec
3720	101.13	64.310646	216.34999	-13.700001	80.0	1 h 16 min 8 sec
3740	121.645004	42.199226	206.05	40.05	80.0	1 h 16 min 31 sec
3760	83.347496	48.41288	184.34999	9.349999	80.0	1 h 16 min 55 sec
3780	96.03	54.56653	191.9	-26.0	80.0	1 h 17 min 19 sec
3800	108.545006	50.8998	227.45	41.549995	80.0	1 h 17 min 44 sec
3820	92.35	66.16585	200.05	-39.7	80.0	1 h 18 min 8 sec
3840	95.56249	52.03541	183.45	13.649998	80.0	1 h 18 min 32 sec
3860	96.472496	54.590034	188.55	-10.300001	80.0	1 h 18 min 56 sec
3880	99.2475	47.889103	171.2	-21.450003	80.0	1 h 19 min 20 sec
3900	131.6625	47.47657	230.59999	59.35	80.0	1 h 19 min 44 sec
3920	100.689995	35.55211	204.05	45.699997	80.0	1 h 20 min 9 sec
3940	128.35	43.112137	190.65	22.999998	80.0	1 h 20 min 32 sec
3960	112.3775	43.59469	190.45	39.6	80.0	1 h 20 min 54 sec
3980	111.4875	50.71319	186.0	-1.3500019	80.0	1 h 21 min 18 sec
4000	126.235	69.28028	228.15	-27.850002	80.0	1 h 21 min 43 sec
4020	111.8375	58.108597	226.45	-43.7	80.0	1 h 22 min 7 sec
4040	135.08751	48.05821	231.59999	18.3	80.0	1 h 22 min 32 sec
4060	119.73	46.08157	178.65	10.199999	80.0	1 h 22 min 55 sec
4080	135.4925	44.77873	212.65	51.149998	80.0	1 h 23 min 20 sec
4100	117.40499	44.86322	192.65	44.399998	80.0	1 h 23 min 43 sec
4120	102.75749	53.9039	193.25	-43.95	80.0	1 h 24 min 6 sec
4140	93.545	62.45196	195.3	-44.600002	80.0	1 h 24 min 30 sec
4160	95.957504	66.74011	173.75	-56.5	80.0	1 h 24 min 54 sec
4180	136.2325	51.039436	255.34999	13.899998	80.0	1 h 25 min 18 sec
4200	143.82999	57.955997	235.95	21.65	80.0	1 h 25 min 41 sec
4220	118.7625	54.46223	201.34999	1.5999974	80.0	1 h 26 min 6 sec
4240	139.00002	50.510826	213.7	12.349999	80.0	1 h 26 min 29 sec
4260	147.7525	52.119987	253.95	24.249998	80.0	1 h 26 min 52 sec
4280	139.275	51.445564	216.59999	27.199999	80.0	1 h 27 min 15 sec
4300	117.35249	51.159412	223.2	50.05	80.0	1 h 27 min 39 sec
4320	122.3125	39.36009	171.55	24.0	80.0	1 h 28 min 2 sec
4340	114.45249	60.778316	198.34999	-44.350002	80.0	1 h 28 min 25 sec
4360	129.0025	49.61977	223.95	33.8	80.0	1 h 28 min 50 sec
4380	109.50499	57.311146	219.7	20.5	80.0	1 h 29 min 14 sec
4400	141.3075	24.976255	177.5	88.7	80.0	1 h 29 min 38 sec
4420	115.50749	37.30444	191.05	28.649998	80.0	1 h 30 min 1 sec
4440	122.50249	58.678486	269.05	38.649994	80.0	1 h 30 min 26 sec
4460	98.927505	60.47951	193.25	-21.300001	80.0	1 h 30 min 52 sec
4480	105.5425	59.841167	196.65	-31.900002	80.0	1 h 31 min 16 sec
4500	130.8725	65.60124	236.09999	-31.2	80.0	1 h 31 min 39 sec
4520	114.65751	46.40539	200.3	37.25	80.0	1 h 32 min 3 sec
4540	113.7625	50.12944	208.15	20.8	80.0	1 h 32 min 25 sec
4560	115.869995	50.715477	230.55	51.05	80.0	1 h 32 min 49 sec
4580	125.302505	56.07018	208.45	32.999996	80.0	1 h 33 min 12 sec
4600	131.05501	47.051243	212.75	42.3	80.0	1 h 33 min 37 sec
4620	90.545	66.506966	195.25	-60.15	80.0	1 h 34 min 1 sec
4640	130.5275	46.405685	204.3	37.8	80.0	1 h 34 min 25 sec
4660	123.825	61.22642	240.09999	-28.400003	80.0	1 h 34 min 48 sec
4680	145.67001	56.185818	217.55	32.3	80.0	1 h 35 min 12 sec
4700	114.3125	57.330486	229.05	-9.700002	80.0	1 h 35 min 36 sec
4720	150.9825	49.771137	248.59999	6.199999	80.0	1 h 36 min 1 sec
4740	129.8425	50.442482	213.34999	17.849998	80.0	1 h 36 min 25 sec
4760	129.11499	62.804966	254.5	17.199999	80.0	1 h 36 min 49 sec
4780	136.17001	44.496403	208.55	55.75	80.0	1 h 37 min 13 sec
4800	124.4625	51.124287	202.4	-12.700003	80.0	1 h 37 min 36 sec
4820	107.74001	55.366116	238.95	-6.550001	80.0	1 h 38 min 1 sec
4840	120.670006	58.65067	207.5	-1.5000018	80.0	1 h 38 min 25 sec
4860	110.99501	51.25648	230.45	14.199999	80.0	1 h 38 min 48 sec
4880	138.00499	71.07845	293.05	-19.85	80.0	1 h 39 min 12 sec
4900	110.34751	54.628853	194.45	6.1499996	80.0	1 h 39 min 36 sec
4920	120.292496	51.94375	235.4	50.1	80.0	1 h 40 min 0 sec
4940	113.69	55.752846	196.7	-15.550001	80.0	1 h 40 min 25 sec
4960	112.92499	65.10788	260.05	5.5999985	80.0	1 h 40 min 49 sec
4980	104.240005	48.745205	182.15	10.449999	80.0	1 h 41 min 12 sec
5000	108.44499	50.258575	211.59999	-4.3000007	80.0	1 h 41 min 38 sec
5020	120.115005	41.027813	195.15	59.0	80.0	1 h 42 min 2 sec
5040	123.94	62.660664	224.7	-10.25	80.0	1 h 42 min 27 sec
5060	113.534996	58.624317	235.09999	19.249998	80.0	1 h 42 min 50 sec
5080	108.392494	57.355274	214.59999	-25.300001	80.0	1 h 43 min 14 sec
5100	104.115005	49.16384	202.0	27.499998	80.0	1 h 43 min 37 sec
5120	114.015	69.025734	234.0	-32.15	80.0	1 h 44 min 2 sec
5140	107.380005	67.46772	219.25	-34.65	80.0	1 h 44 min 26 sec
5160	119.28249	72.54735	274.05	-8.05	80.0	1 h 44 min 50 sec
5180	114.740005	47.528942	185.4	10.549999	80.0	1 h 45 min 15 sec
5200	97.1775	71.06035	208.55	-77.55	80.0	1 h 45 min 40 sec
5220	132.26003	39.252834	230.04999	34.399998	80.0	1 h 46 min 5 sec
5240	129.81499	51.24472	235.55	48.25	80.0	1 h 46 min 30 sec
5260	135.9025	42.626408	214.55	50.199997	80.0	1 h 46 min 54 sec
5280	102.557495	65.156876	196.05	-29.500002	80.0	1 h 47 min 20 sec
5300	106.27999	51.35609	199.09999	-26.5	80.0	1 h 47 min 45 sec
5320	143.9425	48.227478	212.84999	22.399998	80.0	1 h 48 min 10 sec
5340	129.2675	56.494724	235.84999	16.85	80.0	1 h 48 min 34 sec
5360	129.86252	62.989662	255.15	12.149999	80.0	1 h 48 min 58 sec
5380	101.6225	64.00443	192.2	-38.4	80.0	1 h 49 min 22 sec
5400	160.055	54.47673	271.15	17.449999	80.0	1 h 49 min 46 sec
5420	135.4575	53.05404	209.84999	18.749998	80.0	1 h 50 min 12 sec
5440	116.58501	53.166374	215.84999	20.149998	80.0	1 h 50 min 38 sec
5460	129.43748	65.10671	225.3	-20.95	80.0	1 h 51 min 2 sec
5480	153.2275	57.192863	237.45	4.649998	80.0	1 h 51 min 26 sec
5500	124.082504	59.09613	212.8	-3.9500015	80.0	1 h 51 min 50 sec
5520	125.27501	62.580677	225.0	13.249998	80.0	1 h 52 min 14 sec
5540	106.23999	43.479427	194.2	15.549999	80.0	1 h 52 min 40 sec
5560	117.27499	57.765224	218.65	-2.2000012	80.0	1 h 53 min 4 sec
5580	118.1025	67.93712	216.5	-10.350002	80.0	1 h 53 min 29 sec
5600	128.77249	40.212246	190.09999	42.1	80.0	1 h 53 min 54 sec
5620	139.805	56.117134	218.95	52.3	80.0	1 h 54 min 18 sec
5640	124.14	64.798134	236.2	3.1999986	80.0	1 h 54 min 42 sec
5660	117.00499	72.87689	261.0	-1.3500022	80.0	1 h 55 min 6 sec
5680	124.81749	49.59866	194.65	-16.35	80.0	1 h 55 min 30 sec
5700	98.072495	80.9527	254.65	-36.100002	80.0	1 h 55 min 55 sec
5720	137.29251	57.063324	206.5	-8.950003	80.0	1 h 56 min 18 sec
5740	146.80501	47.477764	233.85	58.149998	80.0	1 h 56 min 42 sec
5760	141.83249	48.432407	223.5	34.699997	80.0	1 h 57 min 7 sec
5780	153.6825	44.695736	230.09999	70.5	80.0	1 h 57 min 32 sec
5800	136.85251	47.049305	222.7	38.649998	80.0	1 h 57 min 55 sec
5820	112.24249	68.74961	220.25	-55.550003	80.0	1 h 58 min 20 sec
5840	118.37001	67.88507	203.5	-54.9	80.0	1 h 58 min 44 sec
5860	119.30499	51.058403	222.09999	7.4499984	80.0	1 h 59 min 9 sec
5880	140.6225	60.690434	236.2	31.55	80.0	1 h 59 min 33 sec
5900	123.4125	56.112305	215.34999	32.899998	80.0	1 h 59 min 57 sec
5920	140.5625	62.92649	251.34999	27.499998	80.0	2 h 0 min 23 sec
5940	136.105	69.36416	215.1	-15.250001	80.0	2 h 0 min 47 sec
5960	145.81	47.581516	206.45	12.749999	80.0	2 h 1 min 10 sec
5980	119.03001	52.94715	194.55	10.699999	80.0	2 h 1 min 34 sec
6000	136.655	71.82599	275.45	-53.300003	80.0	2 h 1 min 59 sec
6020	121.00751	58.81506	243.8	-7.000001	80.0	2 h 2 min 23 sec
6040	147.4125	63.652103	230.2	-45.0	80.0	2 h 2 min 47 sec
6060	105.167496	84.804405	225.55	-85.1	80.0	2 h 3 min 11 sec
6080	132.72	53.97227	200.05	-22.500002	80.0	2 h 3 min 36 sec
6100	144.70999	64.70646	242.4	-11.650002	80.0	2 h 4 min 1 sec
6120	126.215004	57.926754	213.75	-2.5500016	80.0	2 h 4 min 26 sec
6140	138.5825	81.54091	279.55	-16.900002	80.0	2 h 4 min 50 sec
6160	130.3575	57.58385	275.25	22.499998	80.0	2 h 5 min 14 sec
