Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
2780	484.43994	149.33646	668.85	208.85	77.1	1 h 20 min
2800	463.21494	135.3382	671.4	149.84999	76.7	1 h 21 min
2820	541.6925	145.53421	669.55	92.65	75.4	1 h 22 min
2840	500.78253	153.3086	645.05	141.45	79.0	1 h 22 min
2860	587.99756	79.02774	669.6	290.2	76.65	1 h 23 min
2880	582.27997	65.38317	649.4	338.6	78.6	1 h 23 min
2900	428.3125	201.30638	613.2	50.25	80.0	1 h 24 min
2920	574.16754	82.11628	681.65	323.7	77.95	1 h 25 min
2940	480.18	168.38205	620.05	49.3	80.0	1 h 25 min
2960	545.495	88.7194	615.7	338.3	80.0	1 h 26 min
2980	498.805	166.47511	661.35	60.199997	77.7	1 h 26 min
3000	522.40753	152.3496	683.45	161.2	71.45	1 h 27 min
3020	472.59995	175.35811	629.5	129.75	79.8	1 h 28 min
3040	496.87494	177.97614	669.85	-31.300001	76.55	1 h 28 min
3060	521.405	109.435326	617.95	253.2	80.0	1 h 29 min
3080	474.40503	187.2075	660.0	22.199999	78.35	1 h 29 min
3100	511.54752	203.82246	677.35	15.549998	73.7	1 h 30 min
3120	484.6625	199.01486	679.15	-5.9000015	74.85	1 h 30 min
3140	553.9476	136.45638	677.15	138.09999	74.35	1 h 31 min
3160	578.135	68.00289	669.6	386.5	76.9	1 h 32 min
3180	558.72253	93.6529	665.45	330.1	78.3	1 h 32 min
3200	527.455	164.95337	620.85	32.649998	80.0	1 h 33 min
3220	552.20996	146.27802	616.25	13.499999	80.0	1 h 33 min
3240	521.28253	119.27781	668.35	208.9	78.35	1 h 34 min
3260	550.67	105.06986	618.65	183.8	80.0	1 h 35 min
3280	500.205	165.0292	654.3	51.55	78.9	1 h 35 min
3300	515.11005	153.92169	617.2	126.75	80.0	1 h 36 min
3320	482.04254	165.43497	618.7	-1.4500018	80.0	1 h 37 min
3340	596.98505	44.555176	671.05	433.65	76.4	1 h 37 min
3360	494.15	164.07623	621.35	103.0	80.0	1 h 38 min
3380	542.5925	70.17422	618.35	361.3	80.0	1 h 38 min
3400	517.87	170.18987	643.85	-1.6500006	79.4	1 h 39 min
3420	532.0126	128.22926	665.25	185.95	78.4	1 h 40 min
3440	552.65	88.14446	611.4	309.8	80.0	1 h 40 min
3460	495.24005	169.04674	653.5	63.0	78.8	1 h 41 min
3480	510.70248	148.89969	683.45	114.45	70.5	1 h 41 min
3500	511.80753	115.4544	621.25	237.65	80.0	1 h 42 min
3520	561.7575	125.56074	661.8	82.15	76.1	1 h 42 min
3540	526.6825	158.03423	674.6	115.65	74.0	1 h 43 min
3560	526.06006	148.6643	620.9	106.9	80.0	1 h 43 min
3580	593.2601	89.63152	679.85	249.4	73.35	1 h 44 min
3600	549.875	127.29835	669.9	144.59999	78.05	1 h 45 min
3620	477.96753	176.7077	680.1	108.95	76.4	1 h 45 min
3640	491.8225	141.9351	662.8	130.2	78.55	1 h 46 min
3660	559.15	88.00864	676.2	318.85	78.05	1 h 46 min
3680	512.82245	141.88675	621.9	9.749998	80.0	1 h 47 min
3700	477.1	175.40958	612.15	45.749996	80.0	1 h 47 min
3720	523.2399	136.09077	630.25	111.25	79.8	1 h 48 min
3740	431.72745	202.23695	678.55	66.9	76.5	1 h 48 min
3760	573.52997	137.621	681.6	35.449997	73.35	1 h 49 min
3780	483.86505	189.01271	649.2	0.39999908	79.1	1 h 49 min
3800	569.79504	109.40208	682.2	167.65	76.85	1 h 50 min
3820	520.6525	167.32155	683.25	122.0	76.2	1 h 51 min
3840	452.45248	188.69753	617.35	61.75	80.0	1 h 51 min
3860	463.7475	201.90215	614.3	-25.550001	80.0	1 h 52 min
3880	495.4725	128.60455	673.95	140.2	78.2	1 h 52 min
3900	450.02252	193.08427	679.2	69.4	78.1	1 h 53 min
3920	467.18	161.815	662.5	101.35	78.5	1 h 53 min
3940	500.315	144.51904	626.55	197.4	79.9	1 h 54 min
3960	502.84247	178.6227	669.9	1.1499991	78.2	1 h 54 min
3980	554.8451	103.48304	675.75	317.9	75.15	1 h 55 min
4000	538.18744	98.860855	611.2	325.15	80.0	1 h 55 min
4020	472.69745	169.3262	621.1	24.799997	80.0	1 h 56 min
4040	508.92505	150.36961	677.25	44.199997	77.9	1 h 57 min
4060	528.26996	165.85712	656.55	24.099998	77.8	1 h 57 min
4080	577.9125	75.43569	680.7	351.7	74.15	1 h 58 min
4100	554.4325	86.180405	667.05	353.35	78.25	1 h 58 min
4120	542.3024	141.18127	676.0	92.05	78.1	1 h 59 min
4140	551.23254	101.40102	665.7	294.1	78.45	1 h 59 min
4160	498.00494	159.64116	674.95	181.85	78.1	2 h 0 min
4180	463.49503	193.5512	619.6	37.05	80.0	2 h 0 min
4200	494.70255	162.44989	614.9	131.55	80.0	2 h 1 min
4220	460.67505	185.6897	610.7	18.15	80.0	2 h 1 min
4240	486.93253	155.69974	616.2	72.95	80.0	2 h 2 min
4260	516.365	174.0406	681.5	32.75	75.95	2 h 3 min
4280	461.19498	198.50903	678.8	46.3	76.2	2 h 3 min
4300	439.4125	187.67021	606.45	6.549999	80.0	2 h 4 min
4320	534.7125	121.29757	672.5	160.6	78.05	2 h 4 min
4340	346.065	203.25035	616.9	80.5	80.0	2 h 5 min
4360	384.8725	197.40826	663.4	112.799995	78.2	2 h 5 min
4380	480.21246	171.68869	617.5	75.0	80.0	2 h 6 min
4400	546.54	119.44207	675.3	209.84999	75.55	2 h 6 min
4420	538.15	130.82745	615.7	150.25	80.0	2 h 7 min
4440	513.41003	127.12673	619.1	122.2	80.0	2 h 7 min
4460	550.41003	88.38842	625.1	347.1	80.0	2 h 8 min
4480	480.93246	171.85457	618.2	51.05	80.0	2 h 9 min
4500	562.6375	84.13145	615.5	257.6	80.0	2 h 9 min
4520	475.30502	151.11227	607.15	164.75	80.0	2 h 10 min
4540	506.93756	102.23837	622.85	243.3	79.7	2 h 10 min
4560	518.6425	150.8794	614.6	115.75	80.0	2 h 11 min
4580	483.9475	148.498	614.4	155.8	80.0	2 h 11 min
4600	449.81503	167.46486	614.0	51.0	80.0	2 h 12 min
4620	518.2076	161.67487	673.05	143.15	78.2	2 h 12 min
4640	548.75995	111.35036	678.2	336.05	73.75	2 h 13 min
4660	541.80005	112.366936	621.65	240.85	80.0	2 h 14 min
4680	545.13	122.29312	654.45	144.2	78.65	2 h 14 min
4700	540.84753	121.833595	616.9	200.9	80.0	2 h 15 min
4720	480.02997	186.82196	632.05	38.3	79.75	2 h 15 min
4740	497.39752	134.4526	617.3	122.85	80.0	2 h 16 min
4760	537.75	118.92401	617.2	152.25	80.0	2 h 16 min
4780	490.15753	151.18594	619.45	121.65	80.0	2 h 17 min
