Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
17500	166.00452	52.550877	259.1	-9.8	59.87	2 h 48 min 52 sec
17600	185.22551	48.888878	269.85	-8.950001	59.33	2 h 49 min 50 sec
17700	172.73349	46.261864	247.85	10.349999	60.0	2 h 50 min 48 sec
17800	167.41553	52.61745	240.2	-38.95	60.0	2 h 51 min 47 sec
17900	178.379	46.634106	247.3	45.55	60.0	2 h 52 min 46 sec
18000	182.91301	43.36978	269.3	34.25	59.73	2 h 53 min 45 sec
18100	184.64299	41.27248	266.05	41.5	59.62	2 h 54 min 43 sec
18200	164.856	49.588093	242.85	46.4	60.0	2 h 55 min 43 sec
18300	179.0445	46.727024	259.75	3.6999998	59.88	2 h 56 min 42 sec
18400	181.96046	41.53472	250.35	42.149998	59.95	2 h 57 min 41 sec
18500	176.68602	46.309288	251.3	-0.20000044	59.95	2 h 58 min 40 sec
18600	172.9415	50.217434	249.35	25.0	60.0	2 h 59 min 39 sec
18700	180.51102	42.867107	250.15	65.55	59.99	3 h 0 min 37 sec
18800	173.4825	48.01698	255.2	47.1	59.96	3 h 1 min 36 sec
18900	173.15903	49.3802	243.05	40.3	60.0	3 h 2 min 30 sec
19000	179.90549	55.250435	262.8	-13.05	59.72	3 h 3 min 26 sec
19100	192.375	41.801292	259.05	44.35	59.84	3 h 4 min 20 sec
19200	184.93848	47.00086	270.6	51.1	59.72	3 h 5 min 13 sec
19300	182.138	43.748367	254.5	39.45	59.9	3 h 6 min 12 sec
19400	178.3255	48.722862	256.25	-9.650002	59.88	3 h 7 min 10 sec
19500	173.556	50.155586	258.35	15.799999	59.84	3 h 8 min 9 sec
19600	175.44452	46.97811	269.95	0.89999896	59.72	3 h 9 min 8 sec
19700	170.291	51.710163	255.55	-15.3	59.91	3 h 10 min 7 sec
19800	170.30699	50.797894	263.65	3.6999993	59.8	3 h 11 min 6 sec
19900	180.08301	53.07723	259.0	-9.800001	59.88	3 h 12 min 5 sec
20000	176.568	46.01186	247.05	11.549999	60.0	3 h 13 min 3 sec
20100	184.902	43.493546	257.05	44.8	59.84	3 h 14 min 2 sec
20200	180.07751	48.357697	249.8	0.29999992	60.0	3 h 15 min 0 sec
20300	180.00653	47.265648	263.3	37.45	59.73	3 h 15 min 59 sec
20400	184.40053	42.232815	245.1	43.8	60.0	3 h 16 min 58 sec
20500	189.40248	45.40649	267.9	15.85	59.4	3 h 17 min 57 sec
20600	191.48903	42.21226	260.3	77.1	59.89	3 h 18 min 55 sec
20700	178.20001	49.713707	244.8	18.949999	60.0	3 h 19 min 52 sec
20800	182.842	48.321766	249.25	67.95	60.0	3 h 20 min 47 sec
20900	181.90201	43.322033	261.55	59.45	59.83	3 h 21 min 42 sec
21000	179.569	45.984913	242.8	47.2	60.0	3 h 22 min 39 sec
21100	188.175	37.303303	246.45	57.2	60.0	3 h 23 min 36 sec
21200	185.71849	39.757977	268.05	53.55	59.74	3 h 24 min 35 sec
21300	178.62949	43.510605	246.1	54.35	60.0	3 h 25 min 32 sec
21400	192.0885	39.52581	252.1	71.95	59.99	3 h 26 min 32 sec
21500	179.57347	43.046963	264.9	51.45	59.61	3 h 27 min 29 sec
21600	190.335	46.85097	265.15	15.349999	59.39	3 h 28 min 28 sec
21700	188.56252	45.86678	257.85	26.15	59.93	3 h 29 min 27 sec
21800	179.0655	49.553585	245.05	5.4499993	60.0	3 h 30 min 27 sec
21900	185.468	43.14145	265.25	-23.7	59.77	3 h 31 min 25 sec
22000	185.95601	44.53149	242.1	50.4	60.0	3 h 32 min 24 sec
22100	174.19652	53.2641	264.05	11.599999	59.78	3 h 33 min 23 sec
22200	177.94801	46.819088	256.9	26.9	59.94	3 h 34 min 22 sec
22300	180.80098	57.292767	267.45	-20.65	59.36	3 h 35 min 20 sec
22400	181.95349	48.1807	268.4	-20.0	59.57	3 h 36 min 19 sec
22500	184.34799	43.634586	262.8	-5.8500004	59.77	3 h 37 min 18 sec
22600	179.57051	50.64435	262.4	-19.550001	59.5	3 h 38 min 15 sec
22700	195.71152	44.03957	268.9	55.65	59.69	3 h 39 min 10 sec
22800	179.511	49.422775	266.75	35.1	59.44	3 h 40 min 5 sec
22900	178.6525	45.71726	254.8	48.65	59.91	3 h 40 min 59 sec
23000	186.8145	39.400646	243.15	53.649998	60.0	3 h 41 min 59 sec
23100	182.48251	49.620674	258.95	-0.9000003	59.8	3 h 42 min 59 sec
23200	184.6835	45.30303	248.1	1.3499994	60.0	3 h 43 min 57 sec
23300	181.52199	53.87281	263.8	-3.9500008	59.54	3 h 44 min 56 sec
23400	185.27301	44.307167	263.9	27.9	59.82	3 h 45 min 54 sec
23500	186.71451	44.561783	247.85	64.15	60.0	3 h 46 min 53 sec
23600	189.69048	41.994797	263.95	57.75	59.71	3 h 47 min 52 sec
23700	191.74199	38.99194	254.8	64.95	59.82	3 h 48 min 51 sec
23800	188.46649	41.81706	262.2	63.45	59.81	3 h 49 min 50 sec
23900	184.1275	46.298664	260.2	48.5	59.65	3 h 50 min 50 sec
24000	187.4575	43.543922	267.7	39.75	59.45	3 h 51 min 48 sec
24100	190.2215	38.17308	261.2	53.35	59.84	3 h 52 min 47 sec
24200	192.29597	43.642044	252.4	0.80000013	60.0	3 h 53 min 46 sec
24300	186.57849	44.730263	265.2	37.0	59.59	3 h 54 min 44 sec
24400	186.4765	46.905273	264.5	-16.300001	59.82	3 h 55 min 38 sec
24500	194.84702	42.451977	261.4	36.75	59.75	3 h 56 min 30 sec
24600	192.04254	40.20734	245.3	70.5	60.0	3 h 57 min 23 sec
24700	189.44899	45.271645	267.85	58.1	59.59	3 h 58 min 15 sec
24800	186.07303	42.419983	240.2	33.95	60.0	3 h 59 min 8 sec
24900	184.7615	46.059906	269.75	10.05	59.73	4 h 0 min 1 sec
25000	182.81099	52.741043	271.6	-14.900001	59.7	4 h 0 min 53 sec
25100	183.60701	45.630856	247.45	40.0	60.0	4 h 1 min 45 sec
25200	192.4965	45.000454	262.8	40.1	59.47	4 h 2 min 36 sec
25300	198.41649	42.244743	257.0	-26.85	59.93	4 h 3 min 29 sec
25400	188.569	42.01031	271.05	70.35	59.69	4 h 4 min 21 sec
25500	191.855	42.86642	254.45	51.4	59.93	4 h 5 min 13 sec
25600	195.85199	46.20441	269.4	16.35	59.64	4 h 6 min 6 sec
25700	190.2555	45.984535	264.8	-16.35	59.52	4 h 6 min 58 sec
25800	182.79501	52.349895	249.4	2.4999993	60.0	4 h 7 min 50 sec
25900	190.36502	43.131966	262.95	65.25	59.78	4 h 8 min 43 sec
26000	198.33551	38.885326	262.45	84.2	59.78	4 h 9 min 35 sec
26100	203.6015	42.668667	267.6	41.1	59.45	4 h 10 min 28 sec
26200	200.85454	45.882446	271.5	-3.2500002	59.38	4 h 11 min 19 sec
26300	194.9355	39.97412	264.2	44.05	59.71	4 h 12 min 12 sec
26400	193.97397	39.012394	249.2	61.05	60.0	4 h 13 min 4 sec
26500	196.21701	37.57564	262.4	90.3	59.63	4 h 13 min 55 sec
26600	195.209	45.619453	261.9	18.2	59.83	4 h 14 min 47 sec
26700	185.5735	45.53615	256.4	66.05	59.98	4 h 15 min 40 sec
26800	191.476	40.75466	246.75	54.25	60.0	4 h 16 min 32 sec
26900	204.8845	35.36786	267.55	90.95	59.63	4 h 17 min 25 sec
27000	198.6585	43.658875	272.2	72.5	59.21	4 h 18 min 18 sec
27100	197.13553	46.408077	268.5	-23.85	59.26	4 h 19 min 9 sec
27200	196.309	37.589176	259.8	87.35	59.72	4 h 20 min 3 sec
27300	190.38248	49.174553	245.25	-7.4500003	60.0	4 h 20 min 55 sec
27400	186.38402	45.621025	263.1	51.4	59.64	4 h 21 min 47 sec
27500	198.69649	47.067966	270.25	-9.35	58.69	4 h 22 min 39 sec
27600	195.13799	49.613884	270.8	1.5500002	59.09	4 h 23 min 31 sec
27700	187.37048	53.298855	247.95	-2.1500006	60.0	4 h 24 min 23 sec
27800	189.99399	43.34851	272.6	58.75	59.31	4 h 25 min 16 sec
27900	196.51447	37.685875	261.4	76.85	59.87	4 h 26 min 10 sec
28000	195.93152	41.755028	253.15	101.35	59.99	4 h 27 min 3 sec
28100	189.79951	43.849182	263.1	40.3	59.52	4 h 27 min 55 sec
28200	196.77802	40.59317	270.95	88.8	59.22	4 h 28 min 46 sec
28300	189.18297	57.825687	266.45	-3.8000002	59.37	4 h 29 min 38 sec
28400	206.22354	40.226467	252.25	54.75	60.0	4 h 30 min 31 sec
28500	201.9435	40.525158	263.1	60.45	59.61	4 h 31 min 23 sec
28600	193.20401	45.220215	264.8	87.9	59.15	4 h 32 min 15 sec
28700	189.21552	44.535034	272.8	55.85	59.01	4 h 33 min 6 sec
28800	190.29901	43.72793	259.4	72.7	59.75	4 h 33 min 58 sec
28900	197.8535	39.07212	260.45	87.95	59.77	4 h 34 min 50 sec
29000	188.22652	48.914307	247.65	-17.1	60.0	4 h 35 min 43 sec
29100	190.2835	45.773216	253.15	-9.3	59.84	4 h 36 min 35 sec
29200	189.43	49.762028	273.7	-10.550001	59.11	4 h 37 min 29 sec
29300	189.7875	48.087807	247.75	6.35	60.0	4 h 38 min 22 sec
29400	196.3905	43.92145	263.85	29.75	59.65	4 h 39 min 14 sec
29500	203.89049	36.64968	263.5	44.35	59.74	4 h 40 min 6 sec
29600	201.59299	42.728592	271.8	57.6	58.87	4 h 40 min 58 sec
29700	187.78851	55.10474	263.45	-17.35	59.51	4 h 41 min 50 sec
29800	209.74248	39.314644	266.65	97.75	58.9	4 h 42 min 41 sec
29900	201.70903	48.23818	269.9	35.6	58.78	4 h 43 min 34 sec
30000	202.5575	45.17877	270.85	51.9	59.04	4 h 44 min 25 sec
30100	198.91	50.202793	272.65	44.65	58.96	4 h 45 min 18 sec
30200	189.90451	47.081512	269.15	6.6499996	59.74	4 h 46 min 10 sec
30300	188.7285	47.453995	262.7	47.35	59.56	4 h 47 min 2 sec
30400	196.91252	43.4653	262.0	58.3	59.49	4 h 47 min 54 sec
30500	191.12949	47.766983	261.75	54.2	59.44	4 h 48 min 46 sec
30600	203.241	42.026585	261.75	76.1	59.61	4 h 49 min 38 sec
30700	192.13148	51.57689	268.85	-7.4000006	59.75	4 h 50 min 31 sec
30800	189.74603	47.636684	266.3	57.2	59.62	4 h 51 min 24 sec
30900	207.0725	40.462723	270.3	88.8	59.04	4 h 52 min 16 sec
31000	198.11552	48.44576	264.7	2.2499998	59.16	4 h 53 min 9 sec
31100	195.01598	48.425114	272.25	-4.750001	58.82	4 h 54 min 0 sec
31200	196.0035	54.312126	270.05	-15.05	58.24	4 h 54 min 52 sec
31300	195.76349	50.826206	258.95	-16.15	59.74	4 h 55 min 46 sec
31400	191.8925	55.390144	268.5	-30.4	58.13	4 h 56 min 38 sec
31500	198.98602	49.683304	267.8	63.3	58.52	4 h 57 min 30 sec
31600	194.3595	47.48011	274.2	38.35	59.14	4 h 58 min 22 sec
31700	207.1915	41.803223	268.3	36.15	58.6	4 h 59 min 16 sec
31800	205.741	42.755005	271.8	73.5	58.7	5 h 0 min 8 sec
31900	198.58899	50.224472	263.75	48.3	59.5	5 h 1 min 0 sec
32000	199.01549	42.314114	264.6	38.85	59.4	5 h 1 min 53 sec
32100	203.227	43.391968	266.1	64.85	58.97	5 h 2 min 45 sec
32200	201.76003	41.632347	272.3	86.7	58.78	5 h 3 min 36 sec
32300	196.39899	46.685028	274.5	36.899998	58.78	5 h 4 min 28 sec
32400	195.9775	43.348373	266.65	68.25	59.49	5 h 5 min 21 sec
32500	198.145	43.70342	268.15	41.7	59.75	5 h 6 min 14 sec
32600	200.71552	46.84476	267.4	-4.4500003	59.19	5 h 7 min 7 sec
32700	197.64201	44.132416	266.25	74.5	59.55	5 h 7 min 59 sec
32800	203.52603	43.387035	263.85	65.8	59.27	5 h 8 min 52 sec
32900	192.00452	45.12113	267.8	48.3	59.48	5 h 9 min 43 sec
33000	190.40599	52.218277	267.45	-1.0000001	59.28	5 h 10 min 36 sec
33100	199.30798	37.866734	273.75	82.35	59.67	5 h 11 min 28 sec
33200	204.21	45.634438	267.0	76.6	58.64	5 h 12 min 22 sec
33300	202.714	41.067127	267.15	51.149998	59.11	5 h 13 min 15 sec
33400	195.657	44.128983	270.5	59.85	59.34	5 h 14 min 7 sec
33500	203.32701	52.435837	269.15	20.75	57.97	5 h 15 min 0 sec
33600	205.78497	39.699566	270.95	68.0	58.36	5 h 15 min 52 sec
33700	187.87898	53.300316	275.9	-29.95	59.29	5 h 16 min 45 sec
33800	208.68	37.000496	269.05	113.15	58.44	5 h 17 min 37 sec
33900	203.649	42.007973	275.1	48.7	59.06	5 h 18 min 29 sec
34000	197.35849	42.386086	261.7	21.9	59.71	5 h 19 min 21 sec
34100	209.31949	40.79881	272.5	16.1	58.87	5 h 20 min 13 sec
34200	202.5	46.430157	272.45	4.3	58.42	5 h 21 min 6 sec
34300	193.68102	46.020405	262.1	7.0499997	59.81	5 h 21 min 59 sec
34400	193.13199	45.499134	263.75	-0.6499999	59.53	5 h 22 min 52 sec
34500	198.02998	46.860195	274.9	45.05	58.03	5 h 23 min 44 sec
34600	191.28851	48.540398	263.15	5.399999	59.36	5 h 24 min 37 sec
34700	184.7615	50.943504	257.25	26.5	59.85	5 h 25 min 32 sec
34800	190.68448	46.694878	257.65	20.449999	59.8	5 h 26 min 25 sec
34900	182.90051	53.692383	273.2	-2.85	59.68	5 h 27 min 18 sec
35000	184.4205	52.25445	265.05	40.85	59.49	5 h 28 min 11 sec
35100	197.86852	44.988956	272.8	12.95	59.05	5 h 29 min 3 sec
35200	197.4845	45.10263	271.4	64.15	59.44	5 h 29 min 56 sec
35300	204.13046	43.92685	269.35	65.5	59.37	5 h 30 min 50 sec
35400	201.73051	42.55679	267.8	60.35	59.09	5 h 31 min 43 sec
35500	207.01453	45.02663	274.8	3.8999996	59.39	5 h 32 min 36 sec
35600	196.3465	52.088043	273.65	26.85	58.97	5 h 33 min 30 sec
35700	202.038	49.054977	271.05	35.149998	58.05	5 h 34 min 22 sec
35800	191.138	54.617783	266.25	-20.7	59.53	5 h 35 min 14 sec
35900	200.2955	39.4039	273.45	57.4	59.67	5 h 36 min 7 sec
36000	198.0475	42.46403	273.75	1.0999995	59.45	5 h 37 min 2 sec
36100	202.4435	43.54497	269.8	-31.4	59.19	5 h 37 min 54 sec
36200	201.8685	49.803505	274.65	-20.050001	58.73	5 h 38 min 46 sec
36300	193.8755	45.01381	269.55	12.7	59.5	5 h 39 min 38 sec
36400	199.131	40.212463	267.6	93.15	58.9	5 h 40 min 32 sec
36500	181.664	47.98569	269.55	3.4499998	59.68	5 h 41 min 25 sec
36600	187.453	49.11448	271.75	49.149998	59.26	5 h 42 min 18 sec
