Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
42	-395.2469	70.252975	-286.4	-526.60004	100.0	688.0	0.0	5.5879354e-09	2.9236457	-0.0057825046	-0.15862754	2.1881046	0.0056414297	0.037100002	49.0	34359.46611595154
43	-363.02188	87.849304	-220.15001	-534.3	100.0	704.0	0.0	-5.5879354e-09	3.442768	-0.005491708	-0.14222035	2.1700082	0.0053054015	0.0357	49.0	34435.75313282013
44	-346.64688	59.773026	-253.90001	-483.30002	100.0	720.0	0.0	-2.7939677e-09	3.4445462	-0.005325164	-0.09270975	2.1348743	0.0054802806	0.038664997	49.0	34514.26605272293
45	-382.34375	81.76069	-212.25	-491.85	100.0	736.0	0.0	3.958121e-09	2.9499333	-0.0052721635	-0.21743397	2.1235623	0.0053997766	0.037445	49.0	34591.426609516144
46	-387.2	97.89812	-219.15001	-562.4	100.0	752.0	0.0	-5.5879354e-09	3.384275	-0.0053186556	-0.10165733	2.0827522	0.005069053	0.03835	49.0	34668.65698122978
47	-401.4406	98.34338	-203.95001	-515.60004	100.0	768.0	0.0	5.5879354e-09	3.1378734	-0.0053307503	-0.09244169	2.0863047	0.005476173	0.03528	49.0	34745.41503691673
48	-328.21564	88.66702	-205.5	-555.75	100.0	784.0	0.0	4.1909516e-09	3.2369719	-0.0055780867	-0.113387436	2.0480394	0.004934472	0.037929997	49.0	34823.42645716667
49	-301.17188	70.643135	-194.0	-456.55002	100.0	800.0	0.0	1.8626451e-09	3.5991426	-0.005376461	-0.109413326	2.018981	0.004944537	0.036135003	49.0	34900.80941271782
50	-307.00626	107.78339	-81.8	-472.6	100.0	816.0	0.0	-6.9849193e-10	4.1344786	-0.005254635	-0.08577365	1.9816184	0.00454649	0.037655	49.0	34978.403930187225
51	-229.75313	66.68251	-145.40001	-387.4	100.0	832.0	0.0	4.656613e-10	4.22614	-0.0054565743	-0.13387164	1.9526608	0.005514737	0.036955	49.0	35055.40985798836
52	-277.5094	86.05711	-106.75001	-418.95	100.0	848.0	0.0	1.8626451e-09	4.548053	-0.00511273	-0.10774517	1.9217782	0.0048702415	0.0391	49.0	35133.08375144005
